likes_total,posts_per_week,friends_count,photos_uploaded,O,C,E,A,N
116,4.04,296,84,0.402,0.549,0.685,0.429,0.0
128,2.4,167,29,0.436,0.7,0.299,0.285,0.0
107,3.34,37,49,0.188,0.432,0.194,0.12,0.379
123,3.02,119,103,0.684,0.435,0.192,0.304,0.065
132,3.15,50,31,0.314,0.376,0.16,0.086,0.154
109,1.84,172,104,0.298,0.581,0.203,0.173,0.035
113,3.04,201,71,0.368,0.516,0.374,0.347,0.024
118,3.75,334,33,0.19,0.523,0.77,0.268,0.125
124,5.18,226,69,0.484,0.329,0.399,0.369,0.051
113,4.44,182,79,0.315,0.327,0.28,0.118,0.128
119,6.23,266,69,0.331,0.205,0.79,0.393,0.064
109,1.85,23,3,0.0,0.353,0.08,0.108,0.0
123,4.31,219,28,0.221,0.201,0.414,0.167,0.012
123,3.28,262,43,0.069,0.461,0.585,0.478,0.0
113,6.28,82,48,0.122,0.036,0.348,0.103,0.24
126,1.79,292,69,0.485,0.481,0.624,0.318,0.0
105,1.74,227,55,0.345,0.563,0.424,0.27,0.0
112,2.1,167,10,0.198,0.614,0.249,0.351,0.0
114,0.0,251,61,0.232,0.769,0.511,0.209,0.0
121,2.21,382,68,0.379,0.476,0.518,0.451,0.0
123,1.86,215,67,0.388,0.428,0.421,0.368,0.0
102,3.23,220,82,0.222,0.536,0.455,0.299,0.0
94,3.51,163,75,0.427,0.281,0.498,0.166,0.043
116,5.81,132,64,0.433,0.182,0.605,0.192,0.144
132,4.43,266,48,0.349,0.454,0.551,0.326,0.075
113,2.13,132,0,0.132,0.349,0.179,0.223,0.16
106,1.65,206,63,0.316,0.545,0.371,0.131,0.0
129,3.74,162,56,0.179,0.23,0.31,0.022,0.099
127,1.02,238,58,0.355,0.541,0.534,0.407,0.0
129,5.75,227,12,0.174,0.314,0.58,0.454,0.21
115,4.77,283,18,0.094,0.23,0.551,0.104,0.07
134,2.3,159,82,0.46,0.5,0.317,0.235,0.0
114,0.43,178,49,0.468,0.591,0.091,0.317,0.0
114,5.03,122,70,0.421,0.303,0.297,0.417,0.106
128,2.83,164,51,0.305,0.448,0.453,0.313,0.145
136,4.86,230,51,0.457,0.479,0.458,0.327,0.096
105,0.61,261,78,0.479,0.657,0.235,0.257,0.037
129,2.1,126,35,0.407,0.401,0.3,0.424,0.023
129,3.01,270,53,0.379,0.507,0.596,0.332,0.0
121,3.07,308,36,0.217,0.574,0.602,0.308,0.0
114,2.32,233,37,0.321,0.516,0.494,0.249,0.0
137,3.93,350,41,0.412,0.499,0.554,0.401,0.0
117,1.4,138,57,0.417,0.429,0.082,0.251,0.009
111,2.79,100,36,0.296,0.313,0.399,0.343,0.135
113,3.18,58,88,0.512,0.18,0.183,0.19,0.0
140,3.77,320,23,0.277,0.658,0.557,0.462,0.057
124,4.07,252,44,0.454,0.287,0.644,0.33,0.0
131,1.31,196,37,0.351,0.479,0.349,0.193,0.0
136,0.7,222,93,0.743,0.538,0.341,0.482,0.042
114,4.92,110,56,0.242,0.336,0.59,0.195,0.279
111,3.5,396,81,0.55,0.529,0.6,0.39,0.0
131,1.88,210,5,0.251,0.648,0.435,0.68,0.0
117,5.33,209,58,0.267,0.228,0.527,0.322,0.0
105,3.17,258,77,0.286,0.502,0.498,0.198,0.0
143,4.77,238,52,0.406,0.271,0.683,0.397,0.061
121,3.1,218,82,0.47,0.663,0.467,0.434,0.0
116,6.09,137,34,0.305,0.071,0.523,0.244,0.217
149,5.63,238,92,0.536,0.329,0.682,0.323,0.136
120,2.63,351,119,0.538,0.645,0.525,0.508,0.0
113,4.46,308,39,0.467,0.47,0.518,0.283,0.0
123,3.97,327,37,0.465,0.457,0.497,0.6,0.0
96,5.05,159,94,0.389,0.262,0.247,0.262,0.203
137,1.55,121,97,0.556,0.48,0.416,0.276,0.0
107,4.03,190,34,0.221,0.351,0.319,0.359,0.222
126,4.59,204,37,0.371,0.437,0.455,0.339,0.089
111,0.36,288,42,0.149,0.903,0.334,0.41,0.0
116,1.23,65,10,0.148,0.398,0.152,0.226,0.101
124,0.0,322,22,0.085,0.595,0.469,0.329,0.0
102,2.6,187,20,0.179,0.449,0.437,0.14,0.103
114,4.08,166,27,0.284,0.602,0.342,0.348,0.131
126,5.25,119,49,0.298,0.151,0.386,0.233,0.139
120,3.11,68,57,0.501,0.496,0.253,0.158,0.163
125,5.44,266,97,0.37,0.499,0.576,0.279,0.0
126,0.93,206,20,0.108,0.526,0.447,0.376,0.0
141,0.44,97,80,0.537,0.587,0.171,0.527,0.0
115,2.92,96,44,0.381,0.53,0.324,0.09,0.074
139,3.58,173,49,0.575,0.345,0.45,0.372,0.057
112,2.95,334,70,0.301,0.527,0.674,0.506,0.0
131,0.0,179,16,0.374,0.564,0.222,0.329,0.0
